Lab_Sample_ID,Field_Pit_ID,Location,Latitude,Longitude,Al2O3,As2O3,BaO,CaO,CeO2,Cr2O3,CuO,Fe2O3,HfO2,K2O,La2O3,MgO,Mn3O4,Na2O,Nb2O5,Nd2O3,NiO,P2O5,PbO,SiO2,SnO2,SO3,SrO,Ta2O5,ThO2,TiO2,U3O8,V2O5,WO3,Y2O3,ZnO,ZrO2,LOI,record_type,Sn_pct,x,y
DBP-019,DBP-019,Bishiwai village,10.471,8.860217,1.25,0.004,0.034,0.02,0.076,0.005,0.006,18.24,0.068,0.39,0.039,0.05,0.977,0.0,0.958,0.021,0.004,0.096,0.018,50.05,4.28,0.001,0.01,0.113,0.083,21.28,0.013,0.013,0.018,0.038,0.032,2.502,0.12,field_sample,3.371234821843275,513.6892628183326,436.0250300001247
DBP-021,DBP-021,Bishiwai village,10.462454,8.857339,2.44,0.004,0.045,0.05,0.147,0.014,0.008,31.73,0.067,0.39,0.084,0.08,1.326,0.0,4.335,0.046,0.004,0.205,0.023,27.34,5.576,0.01,0.004,0.47,0.356,23.71,0.032,0.039,0.043,0.052,0.04,1.961,-0.1,field_sample,4.392057328644416,198.64155973176057,-508.64980999996715
DBP-022A,DBP-022,Bishiwai village,10.461779,8.856889,1.38,0.004,0.053,0.06,0.093,0.009,0.007,33.05,0.11,0.24,0.063,0.09,1.623,0.0,1.29,0.027,0.004,0.125,0.018,23.03,1.451,0.001,0.004,0.148,0.11,33.8,0.019,0.032,0.016,0.055,0.047,3.823,0.16,field_sample,1.142911618339858,149.38114750501057,-583.2643099998915
DBP-022B,DBP-022,Bishiwai village,10.461779,8.856889,1.97,0.004,0.043,0.05,0.097,0.01,0.008,27.67,0.055,0.37,0.054,0.08,1.178,0.0,2.805,0.027,0.004,0.14,0.02,30.68,8.842,0.01,0.004,0.32,0.175,24.85,0.022,0.046,0.041,0.032,0.033,1.678,-0.5,field_sample,6.96459305951828,149.38114750501057,-583.2643099998915
DBP-027,DBP-027,Bishiwai-Yadabongo village,10.47392,8.853517,3.04,0.004,0.07,0.07,0.075,0.009,0.006,31.74,0.044,0.94,0.061,0.08,1.606,0.0,0.268,0.018,0.006,0.128,0.019,35.15,0.15,0.01,0.004,0.027,0.044,25.38,0.011,0.024,0.005,0.025,0.038,1.949,-0.35,field_sample,0.11815075310198393,-219.7435414483614,758.8018300000792
DBP-028A,DBP-028,Bishiwai-Yadabongo village,10.474872,8.853415,3.05,0.004,0.049,0.09,0.117,0.011,0.005,28.52,0.123,0.63,0.067,0.09,1.334,0.0,1.426,0.038,0.004,0.173,0.045,33.4,1.549,0.001,0.004,0.157,0.173,25.61,0.026,0.035,0.025,0.079,0.053,4.037,-0.22,field_sample,1.2201034436998208,-230.90923488645583,864.0359100000618
DBP-029A,DBP-029,Bishiwai-Yadabongo village,10.474762,8.853975,1.41,0.004,0.056,0.05,0.172,0.005,0.005,29.0,0.105,0.57,0.104,0.07,1.615,0.0,2.059,0.051,0.004,0.187,0.031,29.55,1.669,0.001,0.004,0.23,0.172,31.02,0.024,0.028,0.025,0.064,0.043,3.57,-1.08,field_sample,1.314624046181408,-169.6073885596781,851.8765100001294
DBP-029B',DBP-029,Bishiwai-Yadabongo village,10.474762,8.853975,1.56,0.004,0.054,0.06,0.066,0.007,0.008,30.31,0.08,0.5,0.05,0.08,1.603,0.0,1.045,0.013,0.004,0.095,0.018,30.71,0.928,0.01,0.004,0.115,0.078,31.67,0.015,0.013,0.013,0.043,0.044,3.164,-1.35,field_sample,0.7309593258576074,-169.6073885596781,851.8765100001294
DBP-031,DBP-031,Bishiwai-Yadabongo village,10.475567,8.854043,1.84,0.004,0.048,0.05,0.155,0.009,0.006,30.57,0.112,0.49,0.088,0.09,1.555,0.0,1.756,0.042,0.004,0.183,0.028,28.87,1.323,0.001,0.004,0.19,0.186,30.61,0.026,0.024,0.021,0.07,0.044,3.604,-1.05,field_sample,1.0420896423594983,-162.163592934217,940.8612100000987
DBP-032,DBP-032,Bishiwai-Yadabongo village,10.475893,8.854349,1.84,0.004,0.056,0.03,0.137,0.011,0.008,33.41,0.122,0.35,0.092,0.09,1.572,0.0,1.697,0.038,0.004,0.184,0.024,24.8,1.304,0.01,0.004,0.185,0.181,31.47,0.025,0.03,0.024,0.073,0.049,3.984,-1.06,field_sample,1.0271238802999136,-128.66651262012815,976.8972500000305
DBP-033A,DBP-033,Bishiwai-Yadabongo village,10.476646,8.85469,2.01,0.004,0.044,0.04,0.231,0.009,0.008,26.81,0.127,0.48,0.128,0.08,1.286,0.0,2.98,0.071,0.004,0.286,0.029,28.75,7.588,0.001,0.004,0.342,0.23,25.11,0.031,0.032,0.042,0.088,0.044,4.314,-0.25,field_sample,5.976852763585694,-91.3380669103726,1060.1338700001781
DBP-033A',DBP-033,Bishiwai-Yadabongo village,10.476646,8.85469,2.39,0.004,0.055,0.06,0.219,0.009,0.005,28.01,0.09,0.7,0.13,0.09,1.371,0.0,1.859,0.068,0.004,0.277,0.024,32.47,2.277,0.01,0.004,0.205,0.178,27.17,0.023,0.028,0.024,0.073,0.045,3.114,-0.47,field_sample,1.7935284320881162,-91.3380669103726,1060.1338700001781
DBP-035,DBP-035,Bishiwai-Yadabongo village,10.478077,8.854512,2.18,0.004,0.047,0.05,0.145,0.013,0.009,37.67,0.093,0.24,0.089,0.08,1.627,0.0,0.797,0.043,0.004,0.192,0.02,19.51,0.611,0.01,0.004,0.081,0.096,34.35,0.017,0.017,0.013,0.057,0.056,3.686,-0.94,field_sample,0.48126740096874787,-110.82329663566703,1218.3166100001984
DKP-001,DKP-001,Kadade-Gyadobongo,10.447166,8.847129,2.08,0.004,0.041,0.03,0.117,0.017,0.007,38.39,0.072,0.15,0.069,0.08,1.488,0.0,1.404,0.033,0.004,0.184,0.037,20.33,1.406,0.001,0.004,0.154,0.146,31.79,0.019,0.056,0.018,0.047,0.042,2.621,-0.22,field_sample,1.1074663924092627,-919.0224599043221,-2198.5853299999635
DKP-008,DKP-008,Kadade-Gyadobongo,10.444614,8.845858,2.38,0.004,0.039,0.04,0.151,0.014,0.008,34.68,0.083,0.25,0.094,0.09,1.393,0.0,2.691,0.041,0.004,0.229,0.033,20.98,4.62,0.01,0.004,0.307,0.243,28.65,0.025,0.049,0.036,0.061,0.041,2.857,0.73,field_sample,3.639043195541105,-1058.155757549633,-2480.683409999927
DKP-011,DKP-011,Kadade-Gyadobongo,10.441915,8.846577,1.34,0.004,0.04,0.06,0.138,0.017,0.008,40.62,0.096,0.1,0.085,0.1,1.807,0.0,1.008,0.041,0.004,0.187,0.031,12.61,0.392,0.001,0.004,0.104,0.115,39.15,0.016,0.04,0.015,0.055,0.05,3.833,-1.34,field_sample,0.30876730143985137,-979.448565569361,-2779.0308699999027
DKP-012,DKP-012,Kadade-Gyadobongo,10.442824,8.847191,1.5,0.004,0.054,0.07,0.23,0.005,0.004,27.26,0.158,0.5,0.126,0.08,1.377,0.0,1.1,0.073,0.004,0.283,0.036,33.18,0.908,0.001,0.01,0.121,0.205,28.32,0.026,0.022,0.028,0.148,0.048,5.566,-0.73,field_sample,0.7152058921106761,-912.235469775311,-2678.5500099998976
